gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;tenure_group;avg_charge_per_tenure;high_value_flag;service_density;y_true;y_prob;y_pred;Prediction_Type;Risk_Level;Estimated_Cost
Female;0;Yes;Yes;59;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);96,65;5580,80;25-60;94,59;1;3;0;0,62;1;FP;Moderate;100
Male;0;No;Yes;53;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;Yes;One year;No;Electronic check;95,95;5036,90;25-60;95,04;1;4;0;0,46;0;TN;Low;0
Male;0;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,10;90,10;0-6;90,10;0;2;0;0,94;1;FP;High;100
Female;0;Yes;No;58;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;One year;Yes;Electronic check;94,30;5610,15;25-60;96,73;1;3;0;0,61;1;FP;Moderate;100
Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20,25;890,35;25-60;19,36;0;0;0;0,04;0;TN;Low;0
Female;0;No;No;15;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);94,00;1505,45;13-24;100,36;0;3;0;0,83;1;FP;High;100
Male;0;Yes;No;44;No;No phone service;DSL;No;Yes;Yes;No;Yes;Yes;Two year;No;Bank transfer (automatic);54,30;2390,45;25-60;54,33;0;4;0;0,25;0;TN;Low;0
Male;0;No;No;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,75;284,35;13-24;17,77;0;0;0;0,10;0;TN;Low;0
Female;0;No;No;31;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);65,25;1994,30;25-60;64,33;0;3;1;0,42;0;FN;Low;2000
Male;0;Yes;Yes;54;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,40;1090,60;25-60;20,20;0;0;0;0,04;0;TN;Low;0
Female;0;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,70;141,45;0-6;70,72;0;0;1;0,94;1;TP;High;0
Male;1;Yes;No;54;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,05;5295,70;25-60;98,07;1;3;0;0,77;1;FP;High;100
Female;0;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;25,20;25,20;0-6;25,20;0;0;1;0,88;1;TP;High;0
Female;0;Yes;Yes;70;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;110,20;7689,80;61-72;109,85;1;5;0;0,41;0;TN;Low;0
Female;0;Yes;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Bank transfer (automatic);109,80;6109,65;25-60;109,10;1;5;0;0,54;1;FP;Moderate;100
Female;0;Yes;Yes;34;No;No phone service;DSL;Yes;No;Yes;Yes;Yes;Yes;One year;No;Mailed check;61,25;1993,20;25-60;58,62;0;5;0;0,31;0;TN;Low;0
Female;0;Yes;Yes;41;No;No phone service;DSL;Yes;No;Yes;No;No;No;One year;No;Credit card (automatic);35,40;1412,40;25-60;34,45;0;2;0;0,25;0;TN;Low;0
Female;0;No;No;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;61,05;1540,20;25-60;61,61;0;5;0;0,41;0;TN;Low;0
Male;1;Yes;Yes;71;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);72,90;5139,65;61-72;72,39;0;4;0;0,36;0;TN;Low;0
Male;0;No;No;49;Yes;Yes;DSL;No;No;No;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);66,15;3199,00;25-60;65,29;0;2;0;0,18;0;TN;Low;0
Female;0;No;No;61;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;103,95;6423,00;61-72;105,30;1;4;0;0,69;1;FP;Moderate;100
Female;1;No;No;7;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);76,45;503,60;7-12;71,94;0;1;1;0,70;1;TP;Moderate;0
Female;0;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;76,35;76,35;0-6;76,35;0;1;1;0,93;1;TP;High;0
Female;0;No;No;1;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;85,45;85,45;0-6;85,45;0;2;1;0,94;1;TP;High;0
Male;0;Yes;Yes;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19,90;153,95;7-12;19,24;0;0;0;0,15;0;TN;Low;0
Male;0;Yes;Yes;45;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84,35;3858,05;25-60;85,73;0;6;0;0,15;0;TN;Low;0
Male;0;Yes;No;71;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;105,25;7291,75;61-72;102,70;1;5;0;0,39;0;TN;Low;0
Male;0;Yes;Yes;53;Yes;Yes;DSL;No;No;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;78,75;3942,45;25-60;74,39;0;4;0;0,40;0;TN;Low;0
Female;0;Yes;Yes;72;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);85,30;6129,20;61-72;85,13;0;6;0;0,09;0;TN;Low;0
Male;0;No;No;22;Yes;Yes;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;No;Mailed check;65,05;1427,55;13-24;64,89;0;3;0;0,52;1;FP;Moderate;100
Male;0;No;Yes;1;Yes;No;DSL;Yes;Yes;No;Yes;No;Yes;Month-to-month;Yes;Bank transfer (automatic);70,45;70,45;0-6;70,45;0;4;0;0,58;1;FP;Moderate;100
Female;0;Yes;Yes;16;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,70;301,55;13-24;18,85;0;0;0;0,07;0;TN;Low;0
Female;1;No;No;4;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;48,75;179,85;0-6;44,96;0;0;0;0,87;1;FP;High;100
Male;1;No;No;4;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75,35;273,40;0-6;68,35;0;1;0;0,79;1;FP;High;100
Male;0;Yes;No;4;Yes;No;Fiber optic;No;No;Yes;Yes;No;No;Month-to-month;Yes;Mailed check;80,60;319,15;0-6;79,79;0;2;1;0,76;1;TP;High;0
Female;0;No;No;12;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;One year;No;Electronic check;60,65;743,30;7-12;61,94;0;5;0;0,45;0;TN;Low;0
Female;0;Yes;Yes;13;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;55,95;734,35;13-24;56,49;0;1;1;0,78;1;TP;High;0
Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19,45;19,45;0-6;19,45;0;0;0;0,53;1;FP;Moderate;100
Female;0;No;No;1;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;29,90;29,90;0-6;29,90;0;1;0;0,73;1;FP;Moderate;100
Male;0;Yes;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19,90;942,95;25-60;20,06;0;0;0;0,11;0;TN;Low;0
Male;1;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19,20;37,20;0-6;18,60;0;0;0;0,44;0;TN;Low;0
Female;0;No;No;44;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);84,80;3862,55;25-60;87,79;0;2;1;0,77;1;TP;High;0
Female;0;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);24,15;1776,45;61-72;24,67;0;0;0;0,04;0;TN;Low;0
Male;0;Yes;No;66;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);56,60;3789,20;61-72;57,41;0;5;0;0,10;0;TN;Low;0
Female;1;No;No;8;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);100,15;908,55;7-12;113,57;0;3;0;0,76;1;FP;High;100
Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;18,85;18,85;0-6;18,85;0;0;1;0,51;1;TP;Moderate;0
Female;0;Yes;No;54;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,05;1102,40;25-60;20,41;0;0;0;0,05;0;TN;Low;0
Female;1;Yes;No;70;Yes;Yes;Fiber optic;No;No;No;No;No;No;Two year;Yes;Credit card (automatic);75,65;5411,40;61-72;77,31;0;0;0;0,33;0;TN;Low;0
Female;0;No;Yes;24;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,75;498,10;13-24;20,75;0;0;0;0,06;0;TN;Low;0
Female;0;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);74,80;3548,30;25-60;77,14;0;1;0;0,76;1;FP;High;100
Female;0;Yes;Yes;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;20,30;31,90;0-6;15,95;0;0;0;0,20;0;TN;Low;0
Female;0;Yes;Yes;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);19,80;229,60;7-12;19,13;0;0;1;0,17;0;FN;Low;2000
Female;0;No;No;6;No;No phone service;DSL;Yes;Yes;No;Yes;No;Yes;Month-to-month;No;Credit card (automatic);50,95;307,60;0-6;51,27;0;4;0;0,61;1;FP;Moderate;100
Male;0;Yes;No;47;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;25,40;1139,20;25-60;24,24;0;0;0;0,28;0;TN;Low;0
Male;0;Yes;Yes;2;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Two year;No;Mailed check;59,50;130,50;0-6;65,25;0;3;0;0,22;0;TN;Low;0
Male;0;No;No;41;No;No phone service;DSL;No;No;Yes;No;Yes;Yes;One year;Yes;Electronic check;51,35;2075,10;25-60;50,61;0;3;0;0,53;1;FP;Moderate;100
Male;0;Yes;No;67;Yes;No;Fiber optic;Yes;Yes;No;No;No;Yes;One year;Yes;Credit card (automatic);90,60;6056,15;61-72;90,39;1;3;1;0,38;0;FN;Low;2000
Female;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);89,90;6342,70;61-72;89,33;0;6;0;0,11;0;TN;Low;0
Male;0;No;No;8;Yes;No;DSL;Yes;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;66,70;579,00;7-12;72,38;0;3;0;0,69;1;FP;Moderate;100
Male;1;Yes;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70,10;467,55;7-12;66,79;0;0;1;0,84;1;TP;High;0
Female;0;Yes;No;71;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);66,80;4689,15;61-72;66,04;0;6;0;0,27;0;TN;Low;0
Male;0;Yes;No;69;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check;84,70;5878,90;61-72;85,20;0;6;0;0,11;0;TN;Low;0
Female;0;No;No;28;No;No phone service;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;29,75;790,70;25-60;28,24;0;1;0;0,66;1;FP;Moderate;100
Female;0;No;No;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,25;1566,90;61-72;21,76;0;0;0;0,05;0;TN;Low;0
Female;0;No;No;54;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);94,10;5060,90;25-60;93,72;1;3;0;0,56;1;FP;Moderate;100
Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;69,95;69,95;0-6;69,95;0;0;1;0,92;1;TP;High;0
Female;0;Yes;Yes;72;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);83,70;6096,90;61-72;84,68;0;6;0;0,09;0;TN;Low;0
Male;0;No;No;51;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;24,75;1234,60;25-60;24,21;0;0;0;0,06;0;TN;Low;0
Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;88,35;88,35;0-6;88,35;0;2;1;0,95;1;TP;High;0
Female;0;Yes;Yes;3;Yes;No;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;80,00;241,30;0-6;80,43;0;2;0;0,79;1;FP;High;100
Female;0;No;No;22;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;49,80;1049,05;13-24;47,68;0;1;0;0,71;1;FP;Moderate;100
Male;0;No;No;39;No;No phone service;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);48,95;1880,85;25-60;48,23;0;4;1;0,44;0;FN;Low;2000
Female;0;Yes;No;62;Yes;No;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Mailed check;81,00;4985,90;61-72;80,42;0;5;0;0,10;0;TN;Low;0
Male;0;Yes;Yes;5;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Credit card (automatic);64,40;316,90;0-6;63,38;0;3;0;0,53;1;FP;Moderate;100
Male;0;Yes;No;61;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,20;6375,20;61-72;104,51;1;4;0;0,65;1;FP;Moderate;100
Male;0;No;No;3;No;No phone service;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;29,75;96,85;0-6;32,28;0;1;0;0,75;1;FP;Moderate;100
Female;0;No;No;6;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;55,00;340,40;0-6;56,73;0;1;0;0,89;1;FP;High;100
Female;0;Yes;No;71;No;No phone service;DSL;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Bank transfer (automatic);47,60;3377,80;61-72;47,57;0;4;0;0,09;0;TN;Low;0
Female;1;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;90,25;3838,75;25-60;89,27;1;2;0;0,87;1;FP;High;100
Male;0;Yes;Yes;69;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);24,45;1718,20;61-72;24,90;0;0;0;0,02;0;TN;Low;0
Male;0;No;No;40;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;84,90;3369,05;25-60;84,23;0;1;0;0,89;1;FP;High;100
Male;0;Yes;No;51;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);83,85;4307,10;25-60;84,45;0;6;0;0,15;0;TN;Low;0
Male;0;No;No;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;19,80;572,20;25-60;19,73;0;0;0;0,13;0;TN;Low;0
Male;0;Yes;No;21;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;106,10;2249,95;13-24;107,14;0;4;1;0,80;1;TP;High;0
Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;45,30;45,30;0-6;45,30;0;0;1;0,91;1;TP;High;0
Female;0;Yes;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;No;Bank transfer (automatic);90,15;2423,40;25-60;89,76;0;2;0;0,76;1;FP;High;100
Male;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,35;33,20;0-6;16,60;0;0;1;0,48;0;FN;Low;2000
Female;0;Yes;Yes;37;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;88,80;3340,55;25-60;90,29;0;2;0;0,87;1;FP;High;100
Female;1;Yes;No;54;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;99,10;5437,10;25-60;100,69;1;4;0;0,62;1;FP;Moderate;100
Female;0;Yes;Yes;6;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;48,80;297,35;0-6;49,56;0;1;0;0,68;1;FP;Moderate;100
Male;0;Yes;Yes;64;Yes;No;DSL;Yes;No;Yes;Yes;Yes;No;Two year;No;Mailed check;69,25;4447,75;61-72;69,50;0;4;0;0,09;0;TN;Low;0
Male;0;No;No;67;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);50,55;3260,10;61-72;48,66;0;1;0;0,15;0;TN;Low;0
Female;0;Yes;No;68;Yes;Yes;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);58,25;3975,70;61-72;58,47;0;2;0;0,19;0;TN;Low;0
Male;0;No;Yes;1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;Yes;Mailed check;49,90;49,90;0-6;49,90;0;1;1;0,71;1;TP;Moderate;0
Male;0;Yes;Yes;52;Yes;Yes;Fiber optic;No;No;Yes;Yes;No;Yes;Two year;Yes;Bank transfer (automatic);96,25;4990,25;25-60;95,97;1;3;1;0,37;0;FN;Low;2000
Male;0;Yes;Yes;67;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;26,30;1688,90;61-72;25,21;0;0;0;0,03;0;TN;Low;0
Male;1;No;No;27;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;81,45;2122,05;25-60;78,59;0;1;1;0,88;1;TP;High;0
Female;1;No;No;18;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);103,60;1806,35;13-24;100,35;0;4;0;0,72;1;FP;Moderate;100
Female;1;No;No;13;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;74,30;940,35;13-24;72,33;0;1;1;0,91;1;TP;High;0
Female;1;No;No;32;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;74,40;2276,95;25-60;71,15;0;1;1;0,86;1;TP;High;0
Male;0;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;116,25;8564,75;61-72;120,63;1;6;0;0,25;0;TN;Low;0
Female;0;No;No;26;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);69,50;1800,05;25-60;69,23;0;3;0;0,52;1;FP;Moderate;100
Male;0;No;Yes;21;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;24,70;467,15;13-24;22,25;0;0;0;0,31;0;TN;Low;0
Male;0;Yes;Yes;13;Yes;No;DSL;No;No;No;No;Yes;Yes;One year;Yes;Electronic check;64,75;877,35;13-24;67,49;0;2;0;0,57;1;FP;Moderate;100
Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;79,55;79,55;0-6;79,55;0;1;1;0,94;1;TP;High;0
Male;0;No;No;24;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Electronic check;24,60;592,65;13-24;24,69;0;0;0;0,17;0;TN;Low;0
Male;0;No;No;9;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20,15;163,70;7-12;18,19;0;0;0;0,16;0;TN;Low;0
Male;1;No;No;12;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);73,30;828,05;7-12;69,00;0;0;0;0,83;1;FP;High;100
Male;0;Yes;No;35;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);91,50;3236,35;25-60;92,47;1;2;0;0,65;1;FP;Moderate;100
Male;0;No;No;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);26,45;1110,05;25-60;25,82;0;0;0;0,07;0;TN;Low;0
Male;0;Yes;No;38;Yes;Yes;DSL;No;No;Yes;Yes;No;Yes;One year;No;Credit card (automatic);69,00;2669,45;25-60;70,25;0;3;0;0,36;0;TN;Low;0
Female;0;No;No;13;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;81,15;952,30;13-24;73,25;0;2;1;0,90;1;TP;High;0
Female;0;Yes;No;3;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,20;292,85;0-6;97,62;0;2;1;0,94;1;TP;High;0
Female;1;No;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76,25;2841,55;25-60;76,80;0;0;1;0,89;1;TP;High;0
Male;0;No;No;66;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);19,70;1253,80;61-72;19,00;0;0;0;0,04;0;TN;Low;0
Male;0;No;No;60;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Two year;Yes;Electronic check;89,55;5231,20;25-60;87,19;0;2;0;0,44;0;TN;Low;0
Male;0;Yes;Yes;69;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);106,35;7261,75;61-72;105,24;1;5;0;0,29;0;TN;Low;0
Male;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);89,70;6339,30;61-72;88,05;0;6;0;0,11;0;TN;Low;0
Male;0;No;Yes;23;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19,80;465,45;13-24;20,24;0;0;0;0,11;0;TN;Low;0
Female;0;Yes;No;65;Yes;No;DSL;Yes;Yes;Yes;No;No;Yes;Two year;No;Bank transfer (automatic);71,00;4386,20;61-72;67,48;0;4;0;0,13;0;TN;Low;0
Female;0;No;No;19;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19,90;367,55;13-24;19,34;0;0;0;0,41;0;TN;Low;0
Male;0;Yes;No;27;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;One year;No;Mailed check;80,85;2204,35;25-60;81,64;0;4;0;0,35;0;TN;Low;0
Male;0;No;No;2;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;79,45;145,15;0-6;72,58;0;1;0;0,94;1;FP;High;100
Male;0;Yes;Yes;31;No;No phone service;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Bank transfer (automatic);35,40;1077,50;25-60;34,76;0;2;1;0,39;0;FN;Low;2000
Female;0;Yes;Yes;30;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);80,80;2369,30;25-60;78,98;0;5;0;0,18;0;TN;Low;0
